"Enriched_in"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"60"	"up_ASG1_vs_ASG0"	"GO"	"1904178"	"negative regulation of adipose tissue development "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"LMNA_MOUSE"
"61"	"up_ASG1_vs_ASG0"	"GO"	"1903243"	"negative regulation of cardiac muscle hypertrophy in response to stress "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"LMNA_MOUSE"
"64"	"up_ASG1_vs_ASG0"	"GO"	"72201"	"negative regulation of mesenchymal cell proliferation "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"LMNA_MOUSE"
"68"	"up_ASG1_vs_ASG0"	"GO"	"90343"	"positive regulation of cell aging "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"LMNA_MOUSE"
"78"	"up_ASG1_vs_ASG0"	"GO"	"55015"	"ventricular cardiac muscle cell development "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"LMNA_MOUSE"
"81"	"up_ASG1_vs_ASG0"	"GO"	"31371"	"ubiquitin conjugating enzyme complex "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"UB2V1_MOUSE"
"83"	"up_ASG1_vs_ASG0"	"GO"	"31624"	"ubiquitin conjugating enzyme binding "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"UB2V1_MOUSE"
"90"	"up_ASG1_vs_ASG0"	"GO"	"16773"	"phosphotransferase activity, alcohol group as acceptor "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"XYLB_MOUSE"
"91"	"up_ASG1_vs_ASG0"	"GO"	"4856"	"xylulokinase activity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"XYLB_MOUSE"
"108"	"up_ASG1_vs_ASG0"	"GO"	"1904628"	"cellular response to phorbol 13-acetate 12-myristate "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"RLA0_MOUSE"
"109"	"up_ASG1_vs_ASG0"	"GO"	"1904401"	"cellular response to Thyroid stimulating hormone "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"RLA0_MOUSE"
"119"	"up_ASG1_vs_ASG0"	"GO"	"18549"	"methanethiol oxidase activity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"SBP1_MOUSE"
"132"	"up_ASG1_vs_ASG0"	"GO"	"43522"	"leucine zipper domain binding "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"PAWR_MOUSE"
"138"	"up_ASG1_vs_ASG0"	"GO"	"98703"	"calcium ion import across plasma membrane "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"PAWR_MOUSE"
"139"	"up_ASG1_vs_ASG0"	"GO"	"50966"	"detection of mechanical stimulus involved in sensory perception of pain "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"PAWR_MOUSE"
"140"	"up_ASG1_vs_ASG0"	"GO"	"50965"	"detection of temperature stimulus involved in sensory perception of pain "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"PAWR_MOUSE"
"141"	"up_ASG1_vs_ASG0"	"GO"	"42094"	"interleukin-2 biosynthetic process "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"PAWR_MOUSE"
"148"	"up_ASG1_vs_ASG0"	"GO"	"45760"	"positive regulation of action potential "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"PAWR_MOUSE"
"149"	"up_ASG1_vs_ASG0"	"GO"	"42986"	"positive regulation of amyloid precursor protein biosynthetic process "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"PAWR_MOUSE"
"152"	"up_ASG1_vs_ASG0"	"GO"	"60450"	"positive regulation of hindgut contraction "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"PAWR_MOUSE"
"153"	"up_ASG1_vs_ASG0"	"GO"	"1901300"	"positive regulation of hydrogen peroxide-mediated programmed cell death "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"PAWR_MOUSE"
"154"	"up_ASG1_vs_ASG0"	"GO"	"1903238"	"positive regulation of leukocyte tethering or rolling "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"PAWR_MOUSE"
"156"	"up_ASG1_vs_ASG0"	"GO"	"1904457"	"positive regulation of neuronal action potential "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"PAWR_MOUSE"
"157"	"up_ASG1_vs_ASG0"	"GO"	"2000391"	"positive regulation of neutrophil extravasation "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"PAWR_MOUSE"
"159"	"up_ASG1_vs_ASG0"	"GO"	"1901082"	"positive regulation of relaxation of smooth muscle "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"PAWR_MOUSE"
"161"	"up_ASG1_vs_ASG0"	"GO"	"42132"	"fructose 1,6-bisphosphate 1-phosphatase activity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"F16P1_MOUSE"
"167"	"up_ASG1_vs_ASG0"	"GO"	"71286"	"cellular response to magnesium ion "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"F16P1_MOUSE"
"177"	"up_ASG1_vs_ASG0"	"GO"	"5986"	"sucrose biosynthetic process "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"F16P1_MOUSE"
"179"	"up_ASG1_vs_ASG0"	"GO"	"31730"	"CCR5 chemokine receptor binding "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"NEST_MOUSE"
"181"	"up_ASG1_vs_ASG0"	"GO"	"48858"	"cell projection morphogenesis "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"NEST_MOUSE"
"182"	"up_ASG1_vs_ASG0"	"GO"	"31076"	"embryonic camera-type eye development "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"NEST_MOUSE"
"188"	"up_ASG1_vs_ASG0"	"GO"	"30844"	"positive regulation of intermediate filament depolymerization "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"NEST_MOUSE"
"190"	"up_ASG1_vs_ASG0"	"GO"	"72089"	"stem cell proliferation "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"NEST_MOUSE"
"206"	"up_ASG1_vs_ASG0"	"GO"	"16595"	"glutamate binding "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"GLNA_MOUSE"
"207"	"up_ASG1_vs_ASG0"	"GO"	"4356"	"glutamate-ammonia ligase activity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"GLNA_MOUSE"
"210"	"up_ASG1_vs_ASG0"	"GO"	"19706"	"protein-cysteine S-palmitoyltransferase activity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"GLNA_MOUSE"
"216"	"up_ASG1_vs_ASG0"	"GO"	"6542"	"glutamine biosynthetic process "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"GLNA_MOUSE"
"219"	"up_ASG1_vs_ASG0"	"GO"	"51968"	"positive regulation of synaptic transmission, glutamatergic "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"GLNA_MOUSE"
"220"	"up_ASG1_vs_ASG0"	"GO"	"18345"	"protein palmitoylation "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"GLNA_MOUSE"
"221"	"up_ASG1_vs_ASG0"	"GO"	"10594"	"regulation of endothelial cell migration "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"GLNA_MOUSE"
"222"	"up_ASG1_vs_ASG0"	"GO"	"1904749"	"regulation of protein localization to nucleolus "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"GLNA_MOUSE"
"223"	"up_ASG1_vs_ASG0"	"GO"	"1903670"	"regulation of sprouting angiogenesis "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"GLNA_MOUSE"
"229"	"up_ASG1_vs_ASG0"	"GO"	"35374"	"chondroitin sulfate binding "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"DPYL3_MOUSE"
"230"	"up_ASG1_vs_ASG0"	"GO"	"31005"	"filamin binding "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"DPYL3_MOUSE"
"244"	"up_ASG1_vs_ASG0"	"GO"	"46526"	"D-xylulose reductase activity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"DHSO_MOUSE"
"245"	"up_ASG1_vs_ASG0"	"GO"	"3939"	"L-iditol 2-dehydrogenase activity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"DHSO_MOUSE"
"249"	"up_ASG1_vs_ASG0"	"GO"	"46370"	"fructose biosynthetic process "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"DHSO_MOUSE"
"250"	"up_ASG1_vs_ASG0"	"GO"	"51160"	"L-xylitol catabolic process "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"DHSO_MOUSE"
"251"	"up_ASG1_vs_ASG0"	"GO"	"51164"	"L-xylitol metabolic process "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"DHSO_MOUSE"
"258"	"up_ASG1_vs_ASG0"	"GO"	"6062"	"sorbitol catabolic process "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"DHSO_MOUSE"
"259"	"up_ASG1_vs_ASG0"	"GO"	"6060"	"sorbitol metabolic process "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"DHSO_MOUSE"
"260"	"up_ASG1_vs_ASG0"	"GO"	"4001"	"adenosine kinase activity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"ADK_MOUSE"
"262"	"up_ASG1_vs_ASG0"	"GO"	"44209"	"AMP salvage "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"ADK_MOUSE"
"263"	"up_ASG1_vs_ASG0"	"GO"	"6175"	"dATP biosynthetic process "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"ADK_MOUSE"
"286"	"up_ASG1_vs_ASG0"	"GO"	"60537"	"muscle tissue development "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"CSRP1_MOUSE"
"306"	"up_ASG1_vs_ASG0"	"GO"	"1618"	"virus receptor activity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"DPP4_MOUSE"
"310"	"up_ASG1_vs_ASG0"	"GO"	"51234"	"establishment of localization "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"DPP4_MOUSE"
"312"	"up_ASG1_vs_ASG0"	"GO"	"10716"	"negative regulation of extracellular matrix disassembly "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"DPP4_MOUSE"
"313"	"up_ASG1_vs_ASG0"	"GO"	"90024"	"negative regulation of neutrophil chemotaxis "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"DPP4_MOUSE"
"318"	"up_ASG1_vs_ASG0"	"GO"	"2709"	"regulation of T cell mediated immunity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"DPP4_MOUSE"
"330"	"up_ASG1_vs_ASG0"	"GO"	"61609"	"fructose-1-phosphate aldolase activity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"ALDOB_MOUSE"
"337"	"up_ASG1_vs_ASG0"	"GO"	"6116"	"NADH oxidation "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"ALDOB_MOUSE"
"350"	"up_ASG1_vs_ASG0"	"GO"	"8510"	"sodium:bicarbonate symporter activity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"E9Q8N8_MOUSE"
"359"	"up_ASG1_vs_ASG0"	"GO"	"4828"	"serine-tRNA ligase activity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"A2AFS1_MOUSE"
"360"	"up_ASG1_vs_ASG0"	"GO"	"6434"	"seryl-tRNA aminoacylation "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"A2AFS1_MOUSE"
"368"	"up_ASG1_vs_ASG0"	"GO"	"5124"	"scavenger receptor binding "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"A0A0R4J1V0_MOUSE"
"369"	"up_ASG1_vs_ASG0"	"GO"	"15879"	"carnitine transport "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"A0A0R4J1V0_MOUSE"
"370"	"up_ASG1_vs_ASG0"	"GO"	"1904064"	"positive regulation of cation transmembrane transport "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"A0A0R4J1V0_MOUSE"
"372"	"up_ASG1_vs_ASG0"	"GO"	"1905477"	"positive regulation of protein localization to membrane "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"A0A0R4J1V0_MOUSE"
"382"	"up_ASG1_vs_ASG0"	"GO"	"6940"	"regulation of smooth muscle contraction "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"Q8VCQ8_MOUSE"
"279"	"up_ASG1_vs_ASG0"	"GO"	"30018"	"Z disc "	"2/38"	"16/2150"	5.26315789473684	0.744186046511628	0.0376986516096163	1	7.07236842105263	"DESM_MOUSE;CSRP1_MOUSE"
"37"	"up_ASG1_vs_ASG0"	"GO"	"7420"	"brain development "	"2/38"	"17/2150"	5.26315789473684	0.790697674418605	0.0416794309787152	1	6.65634674922601	"RIDA_MOUSE;NEST_MOUSE"
"5"	"up_ASG1_vs_ASG0"	"GO"	"5791"	"rough endoplasmic reticulum "	"2/38"	"19/2150"	5.26315789473684	0.883720930232558	0.0500891706701049	1	5.95567867036011	"UTER_MOUSE;GLNA_MOUSE"
"18"	"up_ASG1_vs_ASG0"	"GO"	"71774"	"response to fibroblast growth factor "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"UTER_MOUSE"
"21"	"up_ASG1_vs_ASG0"	"GO"	"10193"	"response to ozone "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"UTER_MOUSE"
"22"	"up_ASG1_vs_ASG0"	"GO"	"34021"	"response to silicon dioxide "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"UTER_MOUSE"
"23"	"up_ASG1_vs_ASG0"	"GO"	"9410"	"response to xenobiotic stimulus "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"UTER_MOUSE"
"41"	"up_ASG1_vs_ASG0"	"GO"	"6402"	"mRNA catabolic process "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"RIDA_MOUSE"
"42"	"up_ASG1_vs_ASG0"	"GO"	"61157"	"mRNA destabilization "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"RIDA_MOUSE"
"48"	"up_ASG1_vs_ASG0"	"GO"	"5638"	"lamin filament "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"LMNA_MOUSE"
"70"	"up_ASG1_vs_ASG0"	"GO"	"1900114"	"positive regulation of histone H3-K9 trimethylation "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"LMNA_MOUSE"
"75"	"up_ASG1_vs_ASG0"	"GO"	"1900180"	"regulation of protein localization to nucleus "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"LMNA_MOUSE"
"80"	"up_ASG1_vs_ASG0"	"GO"	"35370"	"UBC13-UEV1A complex "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"UB2V1_MOUSE"
"84"	"up_ASG1_vs_ASG0"	"GO"	"42275"	"error-free postreplication DNA repair "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"UB2V1_MOUSE"
"92"	"up_ASG1_vs_ASG0"	"GO"	"42732"	"D-xylose metabolic process "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"XYLB_MOUSE"
"94"	"up_ASG1_vs_ASG0"	"GO"	"5997"	"xylulose metabolic process "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"XYLB_MOUSE"
"115"	"up_ASG1_vs_ASG0"	"GO"	"8146"	"sulfotransferase activity "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"ST1C2_MOUSE"
"116"	"up_ASG1_vs_ASG0"	"GO"	"51923"	"sulfation "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"ST1C2_MOUSE"
"135"	"up_ASG1_vs_ASG0"	"GO"	"97202"	"activation of cysteine-type endopeptidase activity "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"PAWR_MOUSE"
"143"	"up_ASG1_vs_ASG0"	"GO"	"90281"	"negative regulation of calcium ion import "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"PAWR_MOUSE"
"174"	"up_ASG1_vs_ASG0"	"GO"	"45820"	"negative regulation of glycolytic process "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"F16P1_MOUSE"
"175"	"up_ASG1_vs_ASG0"	"GO"	"46580"	"negative regulation of Ras protein signal transduction "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"F16P1_MOUSE"
"180"	"up_ASG1_vs_ASG0"	"GO"	"19215"	"intermediate filament binding "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"NEST_MOUSE"
"194"	"up_ASG1_vs_ASG0"	"GO"	"62029"	"positive regulation of stress granule assembly "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"G3BP2_MOUSE"
"201"	"up_ASG1_vs_ASG0"	"GO"	"97386"	"glial cell projection "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"GLNA_MOUSE"
"205"	"up_ASG1_vs_ASG0"	"GO"	"45503"	"dynein light chain binding "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"GLNA_MOUSE"
"211"	"up_ASG1_vs_ASG0"	"GO"	"19676"	"ammonia assimilation cycle "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"GLNA_MOUSE"
"243"	"up_ASG1_vs_ASG0"	"GO"	"31514"	"motile cilium "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DHSO_MOUSE"
"253"	"up_ASG1_vs_ASG0"	"GO"	"46688"	"response to copper ion "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DHSO_MOUSE"
"257"	"up_ASG1_vs_ASG0"	"GO"	"6970"	"response to osmotic stress "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"DHSO_MOUSE"
"261"	"up_ASG1_vs_ASG0"	"GO"	"46085"	"adenosine metabolic process "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"ADK_MOUSE"
"266"	"up_ASG1_vs_ASG0"	"GO"	"6166"	"purine ribonucleoside salvage "	"1/38"	"2/2150"	2.63157894736842	0.0930232558139535	0.0512027363076229	1	28.2894736842105	"ADK_MOUSE"
