"Type"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"254"	"GO top10% PC1"	"GO"	"2218"	"activation of innate immune response "	"6/215"	"11/2150"	2.7906976744186	0.511627906976744	0.00276056510540736	1	5.45454545454546	"MATR3_MOUSE;IFI5B_MOUSE;SFPQ_MOUSE;MAVS_MOUSE;IFIX_MOUSE;IFI4_MOUSE"
"830"	"GO top10% PC1"	"GO"	"5719"	"nuclear euchromatin "	"6/215"	"11/2150"	2.7906976744186	0.511627906976744	0.00276056510540736	1	5.45454545454546	"H12_MOUSE;H15_MOUSE;H13_MOUSE;H14_MOUSE;H11_MOUSE;Q9DCC5_MOUSE"
"323"	"GO top10% PC1"	"GO"	"51279"	"regulation of release of sequestered calcium ion into cytosol "	"4/215"	"4/2150"	1.86046511627907	0.186046511627907	0.00346324537636821	1	10	"PTN6_MOUSE;LYN_MOUSE;CY24A_MOUSE;COR1A_MOUSE"
"829"	"GO top10% PC1"	"GO"	"42025"	"host cell nucleus "	"7/215"	"17/2150"	3.25581395348837	0.790697674418605	0.00418468356697817	1	4.11764705882353	"H12_MOUSE;IMA4_MOUSE;H15_MOUSE;H13_MOUSE;H14_MOUSE;H11_MOUSE;Z4YKB8_MOUSE"
"67"	"GO top10% PC1"	"GO"	"51721"	"protein phosphatase 2A binding "	"4/215"	"5/2150"	1.86046511627907	0.232558139534884	0.00579359255514147	1	8	"4EBP1_MOUSE;PTN1_MOUSE;PP2AA_MOUSE;ENSA_MOUSE"
"1306"	"GO top10% PC1"	"GO"	"98974"	"postsynaptic actin cytoskeleton organization "	"4/215"	"5/2150"	1.86046511627907	0.232558139534884	0.00579359255514147	1	8	"HCLS1_MOUSE;ACTB_MOUSE;DBNL_MOUSE;WASF2_MOUSE"
"563"	"GO top10% PC1"	"GO"	"3779"	"actin binding "	"14/215"	"62/2150"	6.51162790697674	2.88372093023256	0.00775824921475653	1	2.25806451612903	"VASP_MOUSE;PDIA1_MOUSE;CORO7_MOUSE;MOES_MOUSE;LSP1_MOUSE;EPS8_MOUSE;CAP1_MOUSE;FKB15_MOUSE;DBNL_MOUSE;COR1A_MOUSE;WASF2_MOUSE;F8WJB9_MOUSE;Q80UE5_MOUSE;Q8CG29_MOUSE"
"7"	"GO top10% PC1"	"GO"	"30036"	"actin cytoskeleton organization "	"9/215"	"31/2150"	4.18604651162791	1.44186046511628	0.00800232887557597	1	2.90322580645161	"BRK1_MOUSE;COR1B_MOUSE;VASP_MOUSE;ELMO1_MOUSE;CAP1_MOUSE;DOCK2_MOUSE;COR1A_MOUSE;WASF2_MOUSE;WIPF1_MOUSE"
"834"	"GO top10% PC1"	"GO"	"31492"	"nucleosomal DNA binding "	"5/215"	"10/2150"	2.32558139534884	0.465116279069767	0.00831570862869976	1	5	"H12_MOUSE;H15_MOUSE;H13_MOUSE;H14_MOUSE;H11_MOUSE"
"831"	"GO top10% PC1"	"GO"	"786"	"nucleosome "	"7/215"	"20/2150"	3.25581395348837	0.930232558139535	0.00848266454717386	1	3.5	"H12_MOUSE;H15_MOUSE;H13_MOUSE;H11_MOUSE;H2B1B_MOUSE;H2AX_MOUSE;Z4YKB8_MOUSE"
"6"	"GO top10% PC1"	"GO"	"48365"	"Rac GTPase binding "	"6/215"	"15/2150"	2.7906976744186	0.697674418604651	0.00888184840885978	1	4	"BRK1_MOUSE;PAK2_MOUSE;NCF2_MOUSE;GDIR2_MOUSE;EPS8_MOUSE;WASP_MOUSE"
"131"	"GO top10% PC1"	"GO"	"6357"	"regulation of transcription by RNA polymerase II "	"8/215"	"26/2150"	3.72093023255814	1.2093023255814	0.00926296960234986	1	3.07692307692308	"SODM_MOUSE;KPCB_MOUSE;H12_MOUSE;H13_MOUSE;H14_MOUSE;LYRIC_MOUSE;IFI4_MOUSE;TCP4_MOUSE"
"818"	"GO top10% PC1"	"GO"	"790"	"nuclear chromatin "	"7/215"	"21/2150"	3.25581395348837	0.976744186046512	0.0104581673086282	1	3.33333333333333	"NFAC2_MOUSE;H12_MOUSE;H15_MOUSE;H13_MOUSE;H14_MOUSE;H11_MOUSE;H2AX_MOUSE"
"15"	"GO top10% PC1"	"GO"	"16601"	"Rac protein signal transduction "	"5/215"	"11/2150"	2.32558139534884	0.511627906976744	0.0112180179394461	1	4.54545454545455	"BRK1_MOUSE;ELMO1_MOUSE;EPS8_MOUSE;DBNL_MOUSE;WASF2_MOUSE"
"90"	"GO top10% PC1"	"GO"	"3677"	"DNA binding "	"15/215"	"71/2150"	6.97674418604651	3.30232558139535	0.0114349770000216	1	2.11267605633803	"SODM_MOUSE;LBR_MOUSE;SFPQ_MOUSE;H12_MOUSE;H15_MOUSE;LAP2B_MOUSE;H13_MOUSE;H14_MOUSE;HMGA1_MOUSE;H11_MOUSE;H2B1B_MOUSE;H2AX_MOUSE;Q62347_MOUSE;Q99K94_MOUSE;Z4YKB8_MOUSE"
"214"	"GO top10% PC1"	"GO"	"122"	"negative regulation of transcription by RNA polymerase II "	"12/215"	"51/2150"	5.58139534883721	2.37209302325581	0.0117873457336032	1	2.35294117647059	"ROA2_MOUSE;PP2AA_MOUSE;KHDR1_MOUSE;PURB_MOUSE;SFPQ_MOUSE;NFAC2_MOUSE;H12_MOUSE;H15_MOUSE;H13_MOUSE;H14_MOUSE;LYRIC_MOUSE;HCLS1_MOUSE"
"303"	"GO top10% PC1"	"GO"	"35855"	"megakaryocyte development "	"3/215"	"3/2150"	1.3953488372093	0.13953488372093	0.0120347067392146	1	10	"PTN6_MOUSE;PI42A_MOUSE;WASF2_MOUSE"
"689"	"GO top10% PC1"	"GO"	"72673"	"lamellipodium morphogenesis "	"3/215"	"3/2150"	1.3953488372093	0.13953488372093	0.0120347067392146	1	10	"SNX2_MOUSE;WASF2_MOUSE;Q6NZD2_MOUSE"
"836"	"GO top10% PC1"	"GO"	"98532"	"histone H3-K27 trimethylation "	"3/215"	"3/2150"	1.3953488372093	0.13953488372093	0.0120347067392146	1	10	"H12_MOUSE;H13_MOUSE;H14_MOUSE"
"25"	"GO top10% PC1"	"GO"	"98978"	"glutamatergic synapse "	"13/215"	"59/2150"	6.04651162790698	2.74418604651163	0.0120649217528643	1	2.20338983050847	"AT2B1_MOUSE;4EBP1_MOUSE;ROA2_MOUSE;PAK2_MOUSE;CALX_MOUSE;KCC1A_MOUSE;LYN_MOUSE;KAP0_MOUSE;ARP5L_MOUSE;EPS8_MOUSE;ACTB_MOUSE;COR1A_MOUSE;A2AI52_MOUSE"
"230"	"GO top10% PC1"	"GO"	"51015"	"actin filament binding "	"13/215"	"59/2150"	6.04651162790698	2.74418604651163	0.0120649217528643	1	2.20338983050847	"SHOT1_MOUSE;LASP1_MOUSE;COR1B_MOUSE;CORO7_MOUSE;ARPC4_MOUSE;MARCS_MOUSE;ARP5L_MOUSE;HCLS1_MOUSE;TWF2_MOUSE;DBNL_MOUSE;COR1A_MOUSE;WASP_MOUSE;WIPF1_MOUSE"
"62"	"GO top10% PC1"	"GO"	"5829"	"cytosol "	"68/215"	"511/2150"	31.6279069767442	23.7674418604651	0.0124719219672776	1	1.3307240704501	"4EBP1_MOUSE;PUR6_MOUSE;RGS10_MOUSE;NIBA1_MOUSE;RL24_MOUSE;PTN6_MOUSE;PTN1_MOUSE;PP2AA_MOUSE;PUR9_MOUSE;IFI5B_MOUSE;PGAM2_MOUSE;PTMS_MOUSE;COR1B_MOUSE;AIP_MOUSE;TPIS_MOUSE;VASP_MOUSE;PAK2_MOUSE;TCPB_MOUSE;PDIA1_MOUSE;SNX2_MOUSE;BID_MOUSE;CORO7_MOUSE;KPCB_MOUSE;NFAC2_MOUSE;NOP58_MOUSE;PABP1_MOUSE;FUMH_MOUSE;PSA1_MOUSE;GGA1_MOUSE;IMA4_MOUSE;MYPT1_MOUSE;MOES_MOUSE;NCF2_MOUSE;GNAQ_MOUSE;G6PD1_MOUSE;ATG3_MOUSE;LYN_MOUSE;KAP0_MOUSE;FYB1_MOUSE;GNAI2_MOUSE;GDIR2_MOUSE;IL16_MOUSE;H2B1B_MOUSE;IFIX_MOUSE;HCLS1_MOUSE;IFI4_MOUSE;ATOX1_MOUSE;GARS_MOUSE;ACTB_MOUSE;CAP1_MOUSE;CATH_MOUSE;1433B_MOUSE;ACOC_MOUSE;F120A_MOUSE;DBNL_MOUSE;DDI2_MOUSE;CAND1_MOUSE;CLIC4_MOUSE;DNJA2_MOUSE;COR1A_MOUSE;SKP1_MOUSE;WASP_MOUSE;TOM34_MOUSE;TCPD_MOUSE;A2AI52_MOUSE;H3BL37_MOUSE;H7BX01_MOUSE;Q6NZD2_MOUSE"
"840"	"GO top10% PC1"	"GO"	"6334"	"nucleosome assembly "	"7/215"	"22/2150"	3.25581395348837	1.02325581395349	0.0127487611474401	1	3.18181818181818	"H12_MOUSE;H15_MOUSE;H13_MOUSE;H14_MOUSE;H11_MOUSE;H2B1B_MOUSE;Z4YKB8_MOUSE"
"565"	"GO top10% PC1"	"GO"	"8154"	"actin polymerization or depolymerization "	"4/215"	"7/2150"	1.86046511627907	0.325581395348837	0.0131155789142193	1	5.71428571428571	"VASP_MOUSE;CAP1_MOUSE;WASP_MOUSE;F8WJB9_MOUSE"
"33"	"GO top10% PC1"	"GO"	"5886"	"plasma membrane "	"41/215"	"277/2150"	19.0697674418605	12.8837209302326	0.0154372404902549	1	1.48014440433213	"AT2B1_MOUSE;NIBA1_MOUSE;PI42A_MOUSE;PTN1_MOUSE;PP2AA_MOUSE;PUR9_MOUSE;RALB_MOUSE;COR1B_MOUSE;AIP_MOUSE;FCGR1_MOUSE;VASP_MOUSE;STK10_MOUSE;SAMH1_MOUSE;HG2A_MOUSE;KPCB_MOUSE;GPSM3_MOUSE;MYPT1_MOUSE;MOES_MOUSE;APOBR_MOUSE;GNAQ_MOUSE;LSP1_MOUSE;LYN_MOUSE;FYB1_MOUSE;GNAI2_MOUSE;IL16_MOUSE;HCLS1_MOUSE;ELMO1_MOUSE;EPS8_MOUSE;FCERG_MOUSE;ACTB_MOUSE;CAP1_MOUSE;EHD4_MOUSE;EHD1_MOUSE;F120A_MOUSE;DBNL_MOUSE;CLIC4_MOUSE;BASP1_MOUSE;DPEP1_MOUSE;COR1A_MOUSE;WASP_MOUSE;F6UND7_MOUSE"
"172"	"GO top10% PC1"	"GO"	"6626"	"protein targeting to mitochondrion "	"4/215"	"8/2150"	1.86046511627907	0.372093023255814	0.0182972824286318	1	5	"TOM22_MOUSE;AIP_MOUSE;BID_MOUSE;TOM34_MOUSE"
"297"	"GO top10% PC1"	"GO"	"50853"	"B cell receptor signaling pathway "	"4/215"	"8/2150"	1.86046511627907	0.372093023255814	0.0182972824286318	1	5	"PTN6_MOUSE;KPCB_MOUSE;NFAC2_MOUSE;LYN_MOUSE"
"194"	"GO top10% PC1"	"GO"	"16363"	"nuclear matrix "	"7/215"	"24/2150"	3.25581395348837	1.11627906976744	0.0183758631853765	1	2.91666666666667	"ROA2_MOUSE;MATR3_MOUSE;DX39B_MOUSE;SFPQ_MOUSE;LMNB1_MOUSE;CLIC4_MOUSE;BASP1_MOUSE"
"662"	"GO top10% PC1"	"GO"	"35861"	"site of double-strand break "	"5/215"	"13/2150"	2.32558139534884	0.604651162790698	0.0189382097640795	1	3.84615384615385	"SAMH1_MOUSE;FUMH_MOUSE;ARPC4_MOUSE;H2AX_MOUSE;WASP_MOUSE"
"9"	"GO top10% PC1"	"GO"	"48870"	"cell motility "	"3/215"	"4/2150"	1.3953488372093	0.186046511627907	0.019663005540128	1	7.5	"BRK1_MOUSE;ELMO1_MOUSE;ACTB_MOUSE"
"16"	"GO top10% PC1"	"GO"	"8064"	"regulation of actin polymerization or depolymerization "	"3/215"	"4/2150"	1.3953488372093	0.186046511627907	0.019663005540128	1	7.5	"BRK1_MOUSE;COR1A_MOUSE;WASP_MOUSE"
"604"	"GO top10% PC1"	"GO"	"724"	"double-strand break repair via homologous recombination "	"3/215"	"4/2150"	1.3953488372093	0.186046511627907	0.019663005540128	1	7.5	"SFPQ_MOUSE;SAMH1_MOUSE;H2AX_MOUSE"
"837"	"GO top10% PC1"	"GO"	"80182"	"histone H3-K4 trimethylation "	"3/215"	"4/2150"	1.3953488372093	0.186046511627907	0.019663005540128	1	7.5	"H12_MOUSE;H13_MOUSE;H14_MOUSE"
"1307"	"GO top10% PC1"	"GO"	"30833"	"regulation of actin filament polymerization "	"3/215"	"4/2150"	1.3953488372093	0.186046511627907	0.019663005540128	1	7.5	"HCLS1_MOUSE;DBNL_MOUSE;COR1A_MOUSE"
"425"	"GO top10% PC1"	"GO"	"30864"	"cortical actin cytoskeleton "	"5/215"	"14/2150"	2.32558139534884	0.651162790697674	0.0238508590091933	1	3.57142857142857	"LASP1_MOUSE;HCLS1_MOUSE;CAP1_MOUSE;DBNL_MOUSE;COR1A_MOUSE"
"241"	"GO top10% PC1"	"GO"	"45773"	"positive regulation of axon extension "	"4/215"	"9/2150"	1.86046511627907	0.418604651162791	0.0245869401071286	1	4.44444444444444	"SHOT1_MOUSE;HCLS1_MOUSE;TWF2_MOUSE;DBNL_MOUSE"
"389"	"GO top10% PC1"	"GO"	"5637"	"nuclear inner membrane "	"4/215"	"9/2150"	1.86046511627907	0.418604651162791	0.0245869401071286	1	4.44444444444444	"LBR_MOUSE;LMNB1_MOUSE;LAP2B_MOUSE;TOIP1_MOUSE"
"391"	"GO top10% PC1"	"GO"	"31965"	"nuclear membrane "	"7/215"	"26/2150"	3.25581395348837	1.2093023255814	0.0255538825053432	1	2.69230769230769	"LBR_MOUSE;JUPI1_MOUSE;LMNB1_MOUSE;GNAQ_MOUSE;LAP2B_MOUSE;LYRIC_MOUSE;TOIP1_MOUSE"
"189"	"GO top10% PC1"	"GO"	"785"	"chromatin "	"6/215"	"20/2150"	2.7906976744186	0.930232558139535	0.0256782555696571	1	3	"ROA2_MOUSE;SFPQ_MOUSE;LAP2B_MOUSE;H2AX_MOUSE;BASP1_MOUSE;A0A0B4J1E2_MOUSE"
"1"	"GO top10% PC1"	"GO"	"5856"	"cytoskeleton "	"10/215"	"45/2150"	4.65116279069767	2.09302325581395	0.0286432012820289	1	2.22222222222222	"BRK1_MOUSE;VASP_MOUSE;PDIA1_MOUSE;MOES_MOUSE;ACTB_MOUSE;DOCK2_MOUSE;ACTA_MOUSE;WASF2_MOUSE;F8WJB9_MOUSE;Q80UE5_MOUSE"
"307"	"GO top10% PC1"	"GO"	"43407"	"negative regulation of MAP kinase activity "	"3/215"	"5/2150"	1.3953488372093	0.232558139534884	0.0293828616383839	1	6	"PTN6_MOUSE;PTN1_MOUSE;LYN_MOUSE"
"334"	"GO top10% PC1"	"GO"	"5158"	"insulin receptor binding "	"3/215"	"5/2150"	1.3953488372093	0.232558139534884	0.0293828616383839	1	6	"PTN1_MOUSE;SNX2_MOUSE;Q6NZD2_MOUSE"
"615"	"GO top10% PC1"	"GO"	"31267"	"small GTPase binding "	"3/215"	"5/2150"	1.3953488372093	0.232558139534884	0.0293828616383839	1	6	"PAK2_MOUSE;CYRIB_MOUSE;WASP_MOUSE"
"1008"	"GO top10% PC1"	"GO"	"43020"	"NADPH oxidase complex "	"3/215"	"5/2150"	1.3953488372093	0.232558139534884	0.0293828616383839	1	6	"NCF2_MOUSE;CY24A_MOUSE;A8XU21_MOUSE"
"1631"	"GO top10% PC1"	"GO"	"30048"	"actin filament-based movement "	"3/215"	"5/2150"	1.3953488372093	0.232558139534884	0.0293828616383839	1	6	"WASF2_MOUSE;WASP_MOUSE;WIPF1_MOUSE"
"418"	"GO top10% PC1"	"GO"	"1227"	"DNA-binding transcription repressor activity, RNA polymerase II-specific "	"5/215"	"15/2150"	2.32558139534884	0.697674418604651	0.0295167671841502	1	3.33333333333333	"IFI5B_MOUSE;PURB_MOUSE;NFAC2_MOUSE;IFIX_MOUSE;IFI4_MOUSE"
"166"	"GO top10% PC1"	"GO"	"5741"	"mitochondrial outer membrane "	"7/215"	"27/2150"	3.25581395348837	1.25581395348837	0.0297774525172304	1	2.59259259259259	"TOM22_MOUSE;PGRC1_MOUSE;BID_MOUSE;MAVS_MOUSE;ECHB_MOUSE;TOM34_MOUSE;H7BX01_MOUSE"
"420"	"GO top10% PC1"	"GO"	"978"	"RNA polymerase II cis-regulatory region sequence-specific DNA binding "	"6/215"	"21/2150"	2.7906976744186	0.976744186046512	0.0305912815760809	1	2.85714285714286	"IFI5B_MOUSE;SFPQ_MOUSE;NFAC2_MOUSE;IFIX_MOUSE;IFI4_MOUSE;TCP4_MOUSE"
"444"	"GO top10% PC1"	"GO"	"44297"	"cell body "	"6/215"	"21/2150"	2.7906976744186	0.976744186046512	0.0305912815760809	1	2.85714285714286	"PGRC1_MOUSE;TCPB_MOUSE;GNAQ_MOUSE;GNAI2_MOUSE;ACTA_MOUSE;TCPD_MOUSE"
"354"	"GO top10% PC1"	"GO"	"14069"	"postsynaptic density "	"10/215"	"46/2150"	4.65116279069767	2.13953488372093	0.0311083117276587	1	2.17391304347826	"PP2AA_MOUSE;PAK2_MOUSE;RL12_MOUSE;KCC1A_MOUSE;LYN_MOUSE;HCLS1_MOUSE;EPS8_MOUSE;ACTB_MOUSE;DBNL_MOUSE;A2AI52_MOUSE"
"518"	"GO top10% PC1"	"GO"	"3712"	"transcription coregulator activity "	"4/215"	"10/2150"	1.86046511627907	0.465116279069767	0.0320302808515155	1	4	"AIP_MOUSE;LYRIC_MOUSE;IFI4_MOUSE;B7ZD13_MOUSE"
"625"	"GO top10% PC1"	"GO"	"50731"	"positive regulation of peptidyl-tyrosine phosphorylation "	"4/215"	"10/2150"	1.86046511627907	0.465116279069767	0.0320302808515155	1	4	"PAK2_MOUSE;HG2A_MOUSE;HCLS1_MOUSE;EHD4_MOUSE"
"786"	"GO top10% PC1"	"GO"	"30041"	"actin filament polymerization "	"4/215"	"10/2150"	1.86046511627907	0.465116279069767	0.0320302808515155	1	4	"CORO7_MOUSE;ARPC4_MOUSE;HCLS1_MOUSE;WASP_MOUSE"
"519"	"GO top10% PC1"	"GO"	"51082"	"unfolded protein binding "	"9/215"	"38/2150"	4.18604651162791	1.76744186046512	0.033654221331148	1	2.36842105263158	"AIP_MOUSE;TCPB_MOUSE;CALX_MOUSE;GRPE1_MOUSE;DJB11_MOUSE;DNJA2_MOUSE;TCPD_MOUSE;E9Q133_MOUSE;A0A571BEL9_MOUSE"
"61"	"GO top10% PC1"	"GO"	"5737"	"cytoplasm "	"70/215"	"551/2150"	32.5581395348837	25.6279069767442	0.0342339319679684	1	1.27041742286751	"4EBP1_MOUSE;SODM_MOUSE;PUR6_MOUSE;ROA2_MOUSE;SHOT1_MOUSE;MATR3_MOUSE;NIBA1_MOUSE;RL24_MOUSE;PTN6_MOUSE;PTN1_MOUSE;PP2AA_MOUSE;LBR_MOUSE;LASP1_MOUSE;COR1B_MOUSE;DX39B_MOUSE;KHDR1_MOUSE;STK10_MOUSE;PAK2_MOUSE;RL12_MOUSE;SNX2_MOUSE;BID_MOUSE;HG2A_MOUSE;CALX_MOUSE;JUPI1_MOUSE;KPCB_MOUSE;NFAC2_MOUSE;GPSM3_MOUSE;PABP1_MOUSE;FUMH_MOUSE;KCC1A_MOUSE;PSA1_MOUSE;MYPT1_MOUSE;LMNB1_MOUSE;NCF2_MOUSE;COX17_MOUSE;ARPC4_MOUSE;G6PD1_MOUSE;MARCS_MOUSE;LYN_MOUSE;KAP0_MOUSE;LYRIC_MOUSE;ARP5L_MOUSE;GNAI2_MOUSE;ENSA_MOUSE;HCLS1_MOUSE;ELMO1_MOUSE;GARS_MOUSE;ACTB_MOUSE;CAP1_MOUSE;DJB11_MOUSE;CY24A_MOUSE;TWF2_MOUSE;1433B_MOUSE;DOCK2_MOUSE;ACOC_MOUSE;DBNL_MOUSE;CAND1_MOUSE;CLIC4_MOUSE;ACTA_MOUSE;BASP1_MOUSE;COR1A_MOUSE;SRPRB_MOUSE;SH3L3_MOUSE;SKP1_MOUSE;A0A0B4J1E2_MOUSE;E9Q4B9_MOUSE;E9Q133_MOUSE;F8WJB9_MOUSE;A0A571BEL9_MOUSE;Q99K94_MOUSE"
"687"	"GO top10% PC1"	"GO"	"6897"	"endocytosis "	"6/215"	"22/2150"	2.7906976744186	1.02325581395349	0.0360821309217499	1	2.72727272727273	"SNX2_MOUSE;FKB15_MOUSE;EHD1_MOUSE;WASF2_MOUSE;WASP_MOUSE;WIPF1_MOUSE"
"867"	"GO top10% PC1"	"GO"	"7165"	"signal transduction "	"7/215"	"29/2150"	3.25581395348837	1.34883720930233	0.039583204756978	1	2.41379310344828	"MAVS_MOUSE;KCC1A_MOUSE;MYPT1_MOUSE;LSP1_MOUSE;LYN_MOUSE;FCERG_MOUSE;Q99K94_MOUSE"
"319"	"GO top10% PC1"	"GO"	"6470"	"protein dephosphorylation "	"4/215"	"11/2150"	1.86046511627907	0.511627906976744	0.040653761659812	1	3.63636363636364	"PTN6_MOUSE;PTN1_MOUSE;PP2AA_MOUSE;MYPT1_MOUSE"
"1408"	"GO top10% PC1"	"GO"	"51260"	"protein homooligomerization "	"4/215"	"11/2150"	1.86046511627907	0.511627906976744	0.040653761659812	1	3.63636363636364	"EHD4_MOUSE;EHD1_MOUSE;TCP4_MOUSE;A0A0R4J2B2_MOUSE"
"47"	"GO top10% PC1"	"GO"	"6816"	"calcium ion transport "	"3/215"	"6/2150"	1.3953488372093	0.27906976744186	0.0411774961800051	1	5	"AT2B1_MOUSE;KPCB_MOUSE;COR1A_MOUSE"
"157"	"GO top10% PC1"	"GO"	"42554"	"superoxide anion generation "	"3/215"	"6/2150"	1.3953488372093	0.27906976744186	0.0411774961800051	1	5	"SODM_MOUSE;NCF2_MOUSE;CY24A_MOUSE"
"158"	"GO top10% PC1"	"GO"	"6801"	"superoxide metabolic process "	"3/215"	"6/2150"	1.3953488372093	0.27906976744186	0.0411774961800051	1	5	"SODM_MOUSE;NCF2_MOUSE;CY24A_MOUSE"
"331"	"GO top10% PC1"	"GO"	"30061"	"mitochondrial crista "	"3/215"	"6/2150"	1.3953488372093	0.27906976744186	0.0411774961800051	1	5	"PTN1_MOUSE;LYN_MOUSE;H7BX01_MOUSE"
"402"	"GO top10% PC1"	"GO"	"5694"	"chromosome "	"3/215"	"6/2150"	1.3953488372093	0.27906976744186	0.0411774961800051	1	5	"PP1R7_MOUSE;H2AX_MOUSE;DDI2_MOUSE"
"621"	"GO top10% PC1"	"GO"	"51497"	"negative regulation of stress fiber assembly "	"3/215"	"6/2150"	1.3953488372093	0.27906976744186	0.0411774961800051	1	5	"PAK2_MOUSE;WASF2_MOUSE;WASP_MOUSE"
"1017"	"GO top10% PC1"	"GO"	"45730"	"respiratory burst "	"3/215"	"6/2150"	1.3953488372093	0.27906976744186	0.0411774961800051	1	5	"NCF2_MOUSE;CY24A_MOUSE;A8XU21_MOUSE"
