"Cluster"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"430"	1	"GO"	"44754"	"autolysosome "	"2/119"	"3/2150"	1.68067226890756	0.13953488372093	0.0245563534915143	1	12.0448179271709	"LAMP1_MOUSE;FRIH_MOUSE"
"519"	1	"GO"	"1902430"	"negative regulation of amyloid-beta formation "	"2/119"	"3/2150"	1.68067226890756	0.13953488372093	0.0245563534915143	1	12.0448179271709	"APOE_MOUSE;CLUS_MOUSE"
"577"	1	"GO"	"1901214"	"regulation of neuron death "	"2/119"	"3/2150"	1.68067226890756	0.13953488372093	0.0245563534915143	1	12.0448179271709	"APOE_MOUSE;CLUS_MOUSE"
"606"	1	"GO"	"33627"	"cell adhesion mediated by integrin "	"2/119"	"3/2150"	1.68067226890756	0.13953488372093	0.0245563534915143	1	12.0448179271709	"FBN1_MOUSE;VTNC_MOUSE"
"659"	1	"GO"	"7520"	"myoblast fusion "	"2/119"	"3/2150"	1.68067226890756	0.13953488372093	0.0245563534915143	1	12.0448179271709	"CAN2_MOUSE;E9Q390_MOUSE"
"1"	1	"GO"	"16324"	"apical plasma membrane "	"7/119"	"50/2150"	5.88235294117647	2.32558139534884	0.0271859386438559	1	2.52941176470588	"CATB_MOUSE;SAP3_MOUSE;DPP4_MOUSE;TRFE_MOUSE;UROM_MOUSE;VA0D1_MOUSE;Q9JHF5_MOUSE"
"805"	1	"GO"	"31532"	"actin cytoskeleton reorganization "	"3/119"	"10/2150"	2.52100840336134	0.465116279069767	0.0273141418456031	1	5.42016806722689	"S10A9_MOUSE;B7FAU9_MOUSE;Q3UF75_MOUSE"
"274"	1	"GO"	"43025"	"neuronal cell body "	"8/119"	"63/2150"	6.72268907563025	2.93023255813953	0.0298657374926022	1	2.29425103374683	"PAWR_MOUSE;ANXA5_MOUSE;LAMP1_MOUSE;ANXA3_MOUSE;APOE_MOUSE;CAN2_MOUSE;TRXR1_MOUSE;B7FAU9_MOUSE"
"358"	1	"GO"	"5544"	"calcium-dependent phospholipid binding "	"3/119"	"11/2150"	2.52100840336134	0.511627906976744	0.0334618578787252	1	4.92742551566081	"ANXA5_MOUSE;ANXA3_MOUSE;A0A494BBD8_MOUSE"
"153"	1	"GO"	"7517"	"muscle organ development "	"2/119"	"4/2150"	1.68067226890756	0.186046511627907	0.0355835598170177	1	9.03361344537815	"LMNA_MOUSE;DESM_MOUSE"
"387"	1	"GO"	"5882"	"intermediate filament "	"2/119"	"4/2150"	1.68067226890756	0.186046511627907	0.0355835598170177	1	9.03361344537815	"NEST_MOUSE;VIME_MOUSE"
"403"	1	"GO"	"48237"	"rough endoplasmic reticulum lumen "	"2/119"	"4/2150"	1.68067226890756	0.186046511627907	0.0355835598170177	1	9.03361344537815	"LYZ2_MOUSE;VTNC_MOUSE"
"546"	1	"GO"	"1902004"	"positive regulation of amyloid-beta formation "	"2/119"	"4/2150"	1.68067226890756	0.186046511627907	0.0355835598170177	1	9.03361344537815	"APOE_MOUSE;CLUS_MOUSE"
"668"	1	"GO"	"10951"	"negative regulation of endopeptidase activity "	"2/119"	"4/2150"	1.68067226890756	0.186046511627907	0.0355835598170177	1	9.03361344537815	"A1AT4_MOUSE;VTNC_MOUSE"
"683"	1	"GO"	"8198"	"ferrous iron binding "	"2/119"	"4/2150"	1.68067226890756	0.186046511627907	0.0355835598170177	1	9.03361344537815	"FRIH_MOUSE;TRFE_MOUSE"
"808"	1	"GO"	"14002"	"astrocyte development "	"2/119"	"4/2150"	1.68067226890756	0.186046511627907	0.0355835598170177	1	9.03361344537815	"S10A9_MOUSE;VIME_MOUSE"
"839"	1	"GO"	"30316"	"osteoclast differentiation "	"2/119"	"4/2150"	1.68067226890756	0.186046511627907	0.0355835598170177	1	9.03361344537815	"TRFE_MOUSE;Q9JHF5_MOUSE"
"899"	1	"GO"	"7035"	"vacuolar acidification "	"2/119"	"4/2150"	1.68067226890756	0.186046511627907	0.0355835598170177	1	9.03361344537815	"VA0D1_MOUSE;Q9JHF5_MOUSE"
"900"	1	"GO"	"7034"	"vacuolar transport "	"2/119"	"4/2150"	1.68067226890756	0.186046511627907	0.0355835598170177	1	9.03361344537815	"VA0D1_MOUSE;A0A338P7L8_MOUSE"
"246"	1	"GO"	"10976"	"positive regulation of neuron projection development "	"4/119"	"21/2150"	3.36134453781513	0.976744186046512	0.0386432683182786	1	3.44137655062025	"SPN90_MOUSE;APOE_MOUSE;DPYL3_MOUSE;S10A9_MOUSE"
"141"	1	"GO"	"4867"	"serine-type endopeptidase inhibitor activity "	"3/119"	"12/2150"	2.52100840336134	0.558139534883721	0.0402654029567519	1	4.51680672268908	"MUG1_MOUSE;AMBP_MOUSE;A1AT4_MOUSE"
"492"	1	"GO"	"6874"	"cellular calcium ion homeostasis "	"3/119"	"12/2150"	2.52100840336134	0.558139534883721	0.0402654029567519	1	4.51680672268908	"APOE_MOUSE;UROM_MOUSE;Q9JHF5_MOUSE"
"31"	1	"GO"	"51603"	"proteolysis involved in cellular protein catabolic process "	"3/119"	"13/2150"	2.52100840336134	0.604651162790698	0.0477118209621583	1	4.16936005171299	"CATB_MOUSE;PLMN_MOUSE;CAN2_MOUSE"
"534"	1	"GO"	"10977"	"negative regulation of neuron projection development "	"3/119"	"13/2150"	2.52100840336134	0.604651162790698	0.0477118209621583	1	4.16936005171299	"APOE_MOUSE;DPYL3_MOUSE;VIME_MOUSE"
"57"	1	"GO"	"5856"	"cytoskeleton "	"6/119"	"45/2150"	5.04201680672269	2.09302325581395	0.0477243933471753	1	2.40896358543417	"STOM_MOUSE;GAS2_MOUSE;DESM_MOUSE;CLUS_MOUSE;S10A9_MOUSE;VIME_MOUSE"
"125"	1	"GO"	"34504"	"protein localization to nucleus "	"2/119"	"5/2150"	1.68067226890756	0.232558139534884	0.0481323647538669	1	7.22689075630252	"RL11_MOUSE;LMNA_MOUSE"
"139"	1	"GO"	"4866"	"endopeptidase inhibitor activity "	"2/119"	"5/2150"	1.68067226890756	0.232558139534884	0.0481323647538669	1	7.22689075630252	"MUG1_MOUSE;A1AT4_MOUSE"
"148"	1	"GO"	"8157"	"protein phosphatase 1 binding "	"2/119"	"5/2150"	1.68067226890756	0.232558139534884	0.0481323647538669	1	7.22689075630252	"LMNA_MOUSE;PAWR_MOUSE"
"225"	1	"GO"	"5319"	"lipid transporter activity "	"2/119"	"5/2150"	1.68067226890756	0.232558139534884	0.0481323647538669	1	7.22689075630252	"SAP3_MOUSE;APOE_MOUSE"
"290"	1	"GO"	"48147"	"negative regulation of fibroblast proliferation "	"2/119"	"5/2150"	1.68067226890756	0.232558139534884	0.0481323647538669	1	7.22689075630252	"PAWR_MOUSE;FRIH_MOUSE"
"723"	1	"GO"	"45111"	"intermediate filament cytoskeleton "	"2/119"	"5/2150"	1.68067226890756	0.232558139534884	0.0481323647538669	1	7.22689075630252	"DESM_MOUSE;VIME_MOUSE"
"793"	1	"GO"	"5774"	"vacuolar membrane "	"2/119"	"5/2150"	1.68067226890756	0.232558139534884	0.0481323647538669	1	7.22689075630252	"SLC31_MOUSE;E9Q9C5_MOUSE"
"952"	1	"GO"	"45453"	"bone resorption "	"2/119"	"5/2150"	1.68067226890756	0.232558139534884	0.0481323647538669	1	7.22689075630252	"Q3TLP8_MOUSE;Q9JHF5_MOUSE"
"172"	1	"GO"	"5765"	"lysosomal membrane "	"4/119"	"23/2150"	3.36134453781513	1.06976744186047	0.0494907629781179	1	3.1421264157837	"LMBD1_MOUSE;LAMP1_MOUSE;VA0D1_MOUSE;G3X8T3_MOUSE"
"264"	1	"GO"	"42742"	"defense response to bacterium "	"3/119"	"14/2150"	2.52100840336134	0.651162790697674	0.0557840439032452	1	3.87154861944778	"PLAC8_MOUSE;LYZ2_MOUSE;ANXA3_MOUSE"
"116"	1	"GO"	"43433"	"negative regulation of DNA-binding transcription factor activity "	"2/119"	"6/2150"	1.68067226890756	0.27906976744186	0.0620157163344642	1	6.02240896358543	"RL11_MOUSE;B7FAU9_MOUSE"
"366"	1	"GO"	"10033"	"response to organic substance "	"2/119"	"6/2150"	1.68067226890756	0.27906976744186	0.0620157163344642	1	6.02240896358543	"ANXA5_MOUSE;ASAH1_MOUSE"
"472"	1	"GO"	"1540"	"amyloid-beta binding "	"2/119"	"6/2150"	1.68067226890756	0.27906976744186	0.0620157163344642	1	6.02240896358543	"APOE_MOUSE;CLUS_MOUSE"
"634"	1	"GO"	"71345"	"cellular response to cytokine stimulus "	"2/119"	"6/2150"	1.68067226890756	0.27906976744186	0.0620157163344642	1	6.02240896358543	"DPYL3_MOUSE;Q9JHF5_MOUSE"
"894"	1	"GO"	"16471"	"vacuolar proton-transporting V-type ATPase complex "	"2/119"	"6/2150"	1.68067226890756	0.27906976744186	0.0620157163344642	1	6.02240896358543	"VA0D1_MOUSE;Q9JHF5_MOUSE"
"970"	1	"GO"	"71526"	"semaphorin-plexin signaling pathway "	"2/119"	"6/2150"	1.68067226890756	0.27906976744186	0.0620157163344642	1	6.02240896358543	"Q3TLP8_MOUSE;B7FAU9_MOUSE"
"20"	1	"GO"	"8233"	"peptidase activity "	"3/119"	"15/2150"	2.52100840336134	0.697674418604651	0.0644615342783523	1	3.61344537815126	"CATB_MOUSE;SPCS3_MOUSE;CAN2_MOUSE"
"185"	1	"GO"	"19900"	"kinase binding "	"3/119"	"15/2150"	2.52100840336134	0.697674418604651	0.0644615342783523	1	3.61344537815126	"PLMN_MOUSE;VIME_MOUSE;B7FAU9_MOUSE"
"279"	1	"GO"	"51017"	"actin filament bundle assembly "	"3/119"	"15/2150"	2.52100840336134	0.697674418604651	0.0644615342783523	1	3.61344537815126	"PAWR_MOUSE;DPYL3_MOUSE;A1BN54_MOUSE"
"62"	1	"GO"	"42802"	"identical protein binding "	"20/119"	"237/2150"	16.8067226890756	11.0232558139535	0.0723796385353262	1	1.52466049711024	"STOM_MOUSE;RIDA_MOUSE;PHS_MOUSE;LMNA_MOUSE;ALBU_MOUSE;PH4H_MOUSE;F16P1_MOUSE;ANXA5_MOUSE;LYZ2_MOUSE;CCD91_MOUSE;APOE_MOUSE;FBN1_MOUSE;DPYL3_MOUSE;A1AT4_MOUSE;DYL2_MOUSE;DESM_MOUSE;DPP4_MOUSE;TRXR1_MOUSE;VIME_MOUSE;VTNC_MOUSE"
"96"	1	"GO"	"51894"	"positive regulation of focal adhesion assembly "	"2/119"	"7/2150"	1.68067226890756	0.325581395348837	0.0770617131213184	1	5.16206482593037	"S10AA_MOUSE;Q3TLP8_MOUSE"
"151"	1	"GO"	"30010"	"establishment of cell polarity "	"2/119"	"7/2150"	1.68067226890756	0.325581395348837	0.0770617131213184	1	5.16206482593037	"LMNA_MOUSE;Q9JHF5_MOUSE"
"198"	1	"GO"	"16525"	"negative regulation of angiogenesis "	"2/119"	"7/2150"	1.68067226890756	0.325581395348837	0.0770617131213184	1	5.16206482593037	"PLMN_MOUSE;NGP_MOUSE"
"450"	1	"GO"	"42581"	"specific granule "	"2/119"	"7/2150"	1.68067226890756	0.325581395348837	0.0770617131213184	1	5.16206482593037	"ANXA3_MOUSE;D3YYD0_MOUSE"
"473"	1	"GO"	"16209"	"antioxidant activity "	"2/119"	"7/2150"	1.68067226890756	0.325581395348837	0.0770617131213184	1	5.16206482593037	"APOE_MOUSE;S10A9_MOUSE"
"480"	1	"GO"	"50750"	"low-density lipoprotein particle receptor binding "	"2/119"	"7/2150"	1.68067226890756	0.325581395348837	0.0770617131213184	1	5.16206482593037	"APOE_MOUSE;CLUS_MOUSE"
"485"	1	"GO"	"48156"	"tau protein binding "	"2/119"	"7/2150"	1.68067226890756	0.325581395348837	0.0770617131213184	1	5.16206482593037	"APOE_MOUSE;CLUS_MOUSE"
"810"	1	"GO"	"6914"	"autophagy "	"2/119"	"7/2150"	1.68067226890756	0.325581395348837	0.0770617131213184	1	5.16206482593037	"S10A9_MOUSE;Q9JHF5_MOUSE"
"2"	1	"GO"	"9986"	"cell surface "	"8/119"	"76/2150"	6.72268907563025	3.53488372093023	0.0795905664059678	1	1.90181335692172	"CATB_MOUSE;PLMN_MOUSE;AMBP_MOUSE;LAMP1_MOUSE;APOE_MOUSE;DPP4_MOUSE;CLUS_MOUSE;TRFE_MOUSE"
"5"	1	"GO"	"9897"	"external side of plasma membrane "	"4/119"	"28/2150"	3.36134453781513	1.30232558139535	0.0831427407681814	1	2.58103241296519	"CATB_MOUSE;ANXA5_MOUSE;LAMP1_MOUSE;CAN2_MOUSE"
"80"	1	"GO"	"7420"	"brain development "	"3/119"	"17/2150"	2.52100840336134	0.790697674418605	0.0835362315357506	1	3.18833415719229	"RIDA_MOUSE;NEST_MOUSE;VA0D1_MOUSE"
"83"	1	"GO"	"30324"	"lung development "	"2/119"	"8/2150"	1.68067226890756	0.372093023255814	0.0931125509142827	1	4.51680672268908	"RIDA_MOUSE;ASAH1_MOUSE"
"98"	1	"GO"	"51496"	"positive regulation of stress fiber assembly "	"2/119"	"8/2150"	1.68067226890756	0.372093023255814	0.0931125509142827	1	4.51680672268908	"S10AA_MOUSE;Q3TLP8_MOUSE"
"409"	1	"GO"	"50829"	"defense response to Gram-negative bacterium "	"2/119"	"8/2150"	1.68067226890756	0.372093023255814	0.0931125509142827	1	4.51680672268908	"LYZ2_MOUSE;UROM_MOUSE"
"777"	1	"GO"	"2001244"	"positive regulation of intrinsic apoptotic signaling pathway "	"2/119"	"8/2150"	1.68067226890756	0.372093023255814	0.0931125509142827	1	4.51680672268908	"CLUS_MOUSE;S10A9_MOUSE"
"846"	1	"GO"	"60395"	"SMAD protein signal transduction "	"2/119"	"8/2150"	1.68067226890756	0.372093023255814	0.0931125509142827	1	4.51680672268908	"TRFE_MOUSE;VIME_MOUSE"
"994"	1	"GO"	"1503"	"ossification "	"2/119"	"8/2150"	1.68067226890756	0.372093023255814	0.0931125509142827	1	4.51680672268908	"Q9JHF5_MOUSE;F8WIP8_MOUSE"
"140"	1	"GO"	"2020"	"protease binding "	"3/119"	"18/2150"	2.52100840336134	0.837209302325581	0.0938799329788052	1	3.01120448179272	"MUG1_MOUSE;A1AT4_MOUSE;DPP4_MOUSE"
