"Enrichment_for"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"ASG1_vs_ASG0_unique"	"GO"	"5769"	"early endosome "	"7/132"	"44/2150"	5.3030303030303	2.04651162790698	0.0252353897386429	1	2.59125344352617	"PTN1_MOUSE;RAB5A_MOUSE;HB2A_MOUSE;NUCB1_MOUSE;EHD1_MOUSE;TM9S4_MOUSE;A0A0R4J0I9_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"36336"	"dendritic cell migration "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"CDC42_MOUSE;EPS8_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"90316"	"positive regulation of intracellular protein transport "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"CDC42_MOUSE;PDC10_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"46330"	"positive regulation of JNK cascade "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"CDC42_MOUSE;LMNB1_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"51489"	"regulation of filopodium assembly "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"CDC42_MOUSE;RAB5A_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"51639"	"actin filament network formation "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"PLSL_MOUSE;ARPC5_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"10737"	"protein kinase A signaling "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"PLSL_MOUSE;FBN1_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"45648"	"positive regulation of erythrocyte differentiation "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"SHIP1_MOUSE;MK14_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"1902236"	"negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"PTN1_MOUSE;H7BX01_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"5652"	"nuclear lamina "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"LBR_MOUSE;LMNB1_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"2001238"	"positive regulation of extrinsic apoptotic signaling pathway "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"PDIA3_MOUSE;PAK2_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"2000300"	"regulation of synaptic vesicle exocytosis "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"RAB5A_MOUSE;KPCB_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"4698"	"calcium-dependent protein kinase C activity "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"KPCB_MOUSE;Q1MX41_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"7189"	"adenylate cyclase-activating G protein-coupled receptor signaling pathway "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"GNAQ_MOUSE;GNAI2_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"46628"	"positive regulation of insulin receptor signaling pathway "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"GNAI2_MOUSE;H7BX01_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"51895"	"negative regulation of focal adhesion assembly "	"2/132"	"3/2150"	1.51515151515152	0.13953488372093	0.0295660839811711	1	10.8585858585859	"COR1C_MOUSE;A0A0R4J0I9_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"9986"	"cell surface "	"10/132"	"76/2150"	7.57575757575758	3.53488372093023	0.0296154870524609	1	2.14314194577352	"ITA1_MOUSE;PDIA3_MOUSE;HB2A_MOUSE;FCGR4_MOUSE;H11_MOUSE;HA11_MOUSE;CLIC4_MOUSE;DPP4_MOUSE;APMAP_MOUSE;Q542I8_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"5793"	"endoplasmic reticulum-Golgi intermediate compartment "	"4/132"	"17/2150"	3.03030303030303	0.790697674418605	0.0296422137803583	1	3.83244206773619	"PDIA1_MOUSE;LMAN1_MOUSE;NUCB1_MOUSE;Q3TML0_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"35556"	"intracellular signal transduction "	"5/132"	"26/2150"	3.78787878787879	1.2093023255814	0.0301953044400431	1	3.13228438228438	"SHIP1_MOUSE;KPCB_MOUSE;MK14_MOUSE;E9PWE9_MOUSE;Q1MX41_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"45454"	"cell redox homeostasis "	"5/132"	"26/2150"	3.78787878787879	1.2093023255814	0.0301953044400431	1	3.13228438228438	"PDIA3_MOUSE;PDIA1_MOUSE;SH3L3_MOUSE;Q3TML0_MOUSE;E9PXX7_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"7015"	"actin filament organization "	"5/132"	"27/2150"	3.78787878787879	1.25581395348837	0.0341777317426585	1	3.01627384960718	"CDC42_MOUSE;COR1C_MOUSE;TYB10_MOUSE;Q3TLP8_MOUSE;D3Z2H9_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"30670"	"phagocytic vesicle membrane "	"3/132"	"10/2150"	2.27272727272727	0.465116279069767	0.0352557137032703	1	4.88636363636364	"RAB8B_MOUSE;RAB5A_MOUSE;HA11_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"1669"	"acrosomal vesicle "	"3/132"	"10/2150"	2.27272727272727	0.465116279069767	0.0352557137032703	1	4.88636363636364	"ITA1_MOUSE;PDIA3_MOUSE;NCF2_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"18105"	"peptidyl-serine phosphorylation "	"3/132"	"10/2150"	2.27272727272727	0.465116279069767	0.0352557137032703	1	4.88636363636364	"PAK2_MOUSE;KPCB_MOUSE;MK14_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"9897"	"external side of plasma membrane "	"5/132"	"28/2150"	3.78787878787879	1.30232558139535	0.038472293190018	1	2.90854978354978	"ITA1_MOUSE;PDIA1_MOUSE;HB2A_MOUSE;FCGR4_MOUSE;HA11_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"8283"	"cell population proliferation "	"4/132"	"19/2150"	3.03030303030303	0.883720930232558	0.0401223428938775	1	3.42902711323764	"GNAI2_MOUSE;GBG2_MOUSE;Q3TLP8_MOUSE;A0A0R4J0I9_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"61630"	"ubiquitin protein ligase activity "	"2/132"	"4/2150"	1.51515151515152	0.186046511627907	0.0426876317327298	1	8.14393939393939	"CDC42_MOUSE;PRP19_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"30865"	"cortical cytoskeleton organization "	"2/132"	"4/2150"	1.51515151515152	0.186046511627907	0.0426876317327298	1	8.14393939393939	"CDC42_MOUSE;WDR1_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"51683"	"establishment of Golgi localization "	"2/132"	"4/2150"	1.51515151515152	0.186046511627907	0.0426876317327298	1	8.14393939393939	"CDC42_MOUSE;PDC10_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"39694"	"viral RNA genome replication "	"2/132"	"4/2150"	1.51515151515152	0.186046511627907	0.0426876317327298	1	8.14393939393939	"CDC42_MOUSE;RAB5A_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"30889"	"negative regulation of B cell proliferation "	"2/132"	"4/2150"	1.51515151515152	0.186046511627907	0.0426876317327298	1	8.14393939393939	"SHIP1_MOUSE;PAWR_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"6955"	"immune response "	"3/132"	"11/2150"	2.27272727272727	0.511627906976744	0.0430193870883219	1	4.44214876033058	"HB2A_MOUSE;FYB1_MOUSE;HA11_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"45177"	"apical part of cell "	"4/132"	"20/2150"	3.03030303030303	0.930232558139535	0.0460580101648066	1	3.25757575757576	"AT2B1_MOUSE;CDC42_MOUSE;CLIC4_MOUSE;A0A0R4J0I9_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"30496"	"midbody "	"5/132"	"30/2150"	3.78787878787879	1.3953488372093	0.0480141510210275	1	2.71464646464646	"CDC42_MOUSE;GNAI2_MOUSE;ENPL_MOUSE;CLIC4_MOUSE;CC124_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"1666"	"response to hypoxia "	"4/132"	"21/2150"	3.03030303030303	0.976744186046512	0.0524572548138169	1	3.1024531024531	"KPCB_MOUSE;ENPL_MOUSE;DPP4_MOUSE;TM9S4_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"30036"	"actin cytoskeleton organization "	"5/132"	"31/2150"	3.78787878787879	1.44186046511628	0.0532666567855368	1	2.62707722385142	"CDC42_MOUSE;WDR1_MOUSE;CSRP1_MOUSE;COR1C_MOUSE;TYB10_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"31258"	"lamellipodium membrane "	"2/132"	"5/2150"	1.51515151515152	0.232558139534884	0.0575345160661139	1	6.51515151515152	"CDC42_MOUSE;DPP4_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"34765"	"regulation of ion transmembrane transport "	"2/132"	"5/2150"	1.51515151515152	0.232558139534884	0.0575345160661139	1	6.51515151515152	"STOM_MOUSE;CLIC4_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"30216"	"keratinocyte differentiation "	"2/132"	"5/2150"	1.51515151515152	0.232558139534884	0.0575345160661139	1	6.51515151515152	"PGH1_MOUSE;CLIC4_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"30100"	"regulation of endocytosis "	"2/132"	"5/2150"	1.51515151515152	0.232558139534884	0.0575345160661139	1	6.51515151515152	"PTN1_MOUSE;A0A3Q4EBK4_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"32516"	"positive regulation of phosphoprotein phosphatase activity "	"2/132"	"5/2150"	1.51515151515152	0.232558139534884	0.0575345160661139	1	6.51515151515152	"ITA1_MOUSE;PAWR_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"150093"	"amyloid-beta clearance by transcytosis "	"2/132"	"5/2150"	1.51515151515152	0.232558139534884	0.0575345160661139	1	6.51515151515152	"RAB5A_MOUSE;A0A0R4J0I9_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"31267"	"small GTPase binding "	"2/132"	"5/2150"	1.51515151515152	0.232558139534884	0.0575345160661139	1	6.51515151515152	"PAK2_MOUSE;GDIB_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"31680"	"G-protein beta/gamma-subunit complex "	"2/132"	"5/2150"	1.51515151515152	0.232558139534884	0.0575345160661139	1	6.51515151515152	"GBG5_MOUSE;GBG2_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"7188"	"adenylate cyclase-modulating G protein-coupled receptor signaling pathway "	"2/132"	"5/2150"	1.51515151515152	0.232558139534884	0.0575345160661139	1	6.51515151515152	"GNAQ_MOUSE;GNAI2_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"43542"	"endothelial cell migration "	"2/132"	"5/2150"	1.51515151515152	0.232558139534884	0.0575345160661139	1	6.51515151515152	"DPP4_MOUSE;Q542I8_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"42470"	"melanosome "	"5/132"	"32/2150"	3.78787878787879	1.48837209302326	0.0588417463486674	1	2.54498106060606	"STOM_MOUSE;PDIA3_MOUSE;RAB5A_MOUSE;PDIA1_MOUSE;ENPL_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"3779"	"actin binding "	"8/132"	"62/2150"	6.06060606060606	2.88372093023256	0.0603974798555442	1	2.10166177908113	"WDR1_MOUSE;PAWR_MOUSE;PDIA1_MOUSE;EPS8_MOUSE;COTL1_MOUSE;D3YXG6_MOUSE;A0A1L1SV25_MOUSE;Q8VCQ8_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"7605"	"sensory perception of sound "	"3/132"	"13/2150"	2.27272727272727	0.604651162790698	0.0608583261081836	1	3.75874125874126	"WDR1_MOUSE;CCD50_MOUSE;F107B_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"30139"	"endocytic vesicle "	"3/132"	"13/2150"	2.27272727272727	0.604651162790698	0.0608583261081836	1	3.75874125874126	"RAB5A_MOUSE;EHD1_MOUSE;DPP4_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"17137"	"Rab GTPase binding "	"3/132"	"13/2150"	2.27272727272727	0.604651162790698	0.0608583261081836	1	3.75874125874126	"GDIB_MOUSE;EHD1_MOUSE;Q3TLP8_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"46872"	"metal ion binding "	"16/132"	"161/2150"	12.1212121212121	7.48837209302326	0.0635249567133937	1	1.61867118388858	"AT2B1_MOUSE;PGH1_MOUSE;ITA1_MOUSE;LMAN1_MOUSE;NDUS7_MOUSE;GNAQ_MOUSE;GNAI2_MOUSE;ENDD1_MOUSE;ADK_MOUSE;CSRP1_MOUSE;CRIP2_MOUSE;TIM10_MOUSE;Q7TQE2_MOUSE;A0A087WPL1_MOUSE;Q8BQ10_MOUSE;Q1MX41_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"5938"	"cell cortex "	"4/132"	"23/2150"	3.03030303030303	1.06976744186047	0.0666315133404061	1	2.83267457180501	"CDC42_MOUSE;EPS8_MOUSE;CRIP2_MOUSE;COR1C_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"5509"	"calcium ion binding "	"10/132"	"86/2150"	7.57575757575758	4	0.0679849302127436	1	1.89393939393939	"PLSL_MOUSE;NUCB1_MOUSE;ESYT1_MOUSE;FBN1_MOUSE;EHD1_MOUSE;A0A0A0MQ90_MOUSE;A0A1L1SV25_MOUSE;A0A0R4J0I9_MOUSE;Q8C845_MOUSE;A0A0G2JGD2_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"5856"	"cytoskeleton "	"6/132"	"45/2150"	4.54545454545455	2.09302325581395	0.0706278398892692	1	2.17171717171717	"CDC42_MOUSE;STOM_MOUSE;PDIA1_MOUSE;COR1C_MOUSE;TYB10_MOUSE;E9Q805_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"1900026"	"positive regulation of substrate adhesion-dependent cell spreading "	"3/132"	"14/2150"	2.27272727272727	0.651162790697674	0.0708780808770468	1	3.49025974025974	"CDC42_MOUSE;PDIA1_MOUSE;Q3TLP8_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"34976"	"response to endoplasmic reticulum stress "	"3/132"	"14/2150"	2.27272727272727	0.651162790697674	0.0708780808770468	1	3.49025974025974	"PTN1_MOUSE;PDIA3_MOUSE;PDIA1_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"5794"	"Golgi apparatus "	"10/132"	"88/2150"	7.57575757575758	4.09302325581395	0.071841536017823	1	1.85089531680441	"PGH1_MOUSE;PDC10_MOUSE;HB2A_MOUSE;LMAN1_MOUSE;NUCB1_MOUSE;GNAQ_MOUSE;HA11_MOUSE;GDIB_MOUSE;DPP4_MOUSE;TM9S4_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"6816"	"calcium ion transport "	"2/132"	"6/2150"	1.51515151515152	0.27906976744186	0.073866523715213	1	5.42929292929293	"AT2B1_MOUSE;KPCB_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"45740"	"positive regulation of DNA replication "	"2/132"	"6/2150"	1.51515151515152	0.27906976744186	0.073866523715213	1	5.42929292929293	"CDC42_MOUSE;Q3TLP8_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"45214"	"sarcomere organization "	"2/132"	"6/2150"	1.51515151515152	0.27906976744186	0.073866523715213	1	5.42929292929293	"WDR1_MOUSE;CSRP1_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"30061"	"mitochondrial crista "	"2/132"	"6/2150"	1.51515151515152	0.27906976744186	0.073866523715213	1	5.42929292929293	"PTN1_MOUSE;H7BX01_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"48038"	"quinone binding "	"2/132"	"6/2150"	1.51515151515152	0.27906976744186	0.073866523715213	1	5.42929292929293	"NDUS7_MOUSE;SQOR_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"31683"	"G-protein beta/gamma-subunit complex binding "	"2/132"	"6/2150"	1.51515151515152	0.27906976744186	0.073866523715213	1	5.42929292929293	"GNAQ_MOUSE;GNAI2_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"4715"	"non-membrane spanning protein tyrosine kinase activity "	"2/132"	"6/2150"	1.51515151515152	0.27906976744186	0.073866523715213	1	5.42929292929293	"E9PWE9_MOUSE;F6UND7_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"42277"	"peptide binding "	"3/132"	"15/2150"	2.27272727272727	0.697674418604651	0.081587338629269	1	3.25757575757576	"RLA0_MOUSE;HA11_MOUSE;DPP4_MOUSE"
